,MODULE_NAME,user_id,question_id,LOD,a.ae_qset_id,seq_no,time_taken,attempted,correct,MARK_OPT
8,Percentages,3410077,127305,49.5,1208010,2,12,0,0,x
9,Percentages,3410077,127349,49.5,1208010,3,55,1,1,e
18,Percentages,3266794,94131,19.2,1208000,1,104,1,1,c
19,Percentages,3266794,102067,9.3,1208000,2,111,1,1,c
20,Percentages,3266794,121656,9.2,1208000,3,56,1,1,c
21,Percentages,3266794,121661,19.3,1208000,4,111,1,1,e
22,Percentages,3266794,127363,9.3,1208000,5,77,1,0,a
23,Percentages,3266794,134358,9.4,1208000,6,40,1,1,d
24,Percentages,3266794,150938,19.1,1208000,7,18,1,1,c
25,Percentages,2703899,88305,19.3,1207992,1,65,1,1,c
27,Percentages,2703899,150196,19.1,1207992,3,36,1,1,a
28,Percentages,2703899,151536,19.1,1207992,4,34,1,1,c
29,Percentages,2703899,171290,19.4,1207992,5,169,1,1,b
30,Percentages,2703899,246127,19.3,1207992,6,144,1,1,b
31,Percentages,2703899,246162,9.2,1207992,7,22,1,1,d
40,Percentages,2438207,94134,39.4,1208009,2,215,1,1,a
41,Percentages,2438207,102083,29.4,1208009,3,184,1,1,c
42,Percentages,2438207,134353,29.3,1208009,4,46,1,1,b
43,Percentages,2438207,134356,29.5,1208009,5,33,1,0,c
44,Percentages,2438207,151541,29.4,1208009,6,98,1,1,a
45,Percentages,2438207,151547,39.4,1208009,7,137,1,1,b
46,Percentages,3062667,134376,9.1,1207999,1,76,1,1,a
47,Percentages,3062667,245432,9.2,1207999,2,11,1,1,a
48,Percentages,3062667,246075,19.1,1207999,3,12,1,1,a
49,Percentages,3062667,246120,19.3,1207999,4,363,1,1,c
50,Percentages,3062667,246190,9.3,1207999,5,91,1,1,c
51,Percentages,3062667,246213,9.2,1207999,6,134,1,1,c
52,Percentages,3062667,253331,19.1,1207999,7,169,1,1,d
60,Percentages,3426986,127236,19.3,1207996,1,78,1,0,b
61,Percentages,3426986,134363,19.0,1207996,2,38,1,1,a
62,Percentages,3426986,153964,19.1,1207996,3,43,1,1,c
63,Percentages,3426986,159219,19.2,1207996,4,40,1,1,c
64,Percentages,3426986,224752,9.1,1207996,5,29,1,1,d
65,Percentages,3426986,227532,19.3,1207996,6,40,1,1,c
66,Percentages,3426986,246189,19.1,1207996,7,20,1,1,d
88,Percentages,3426986,88304,1.0,1208011,1,75,1,1,d
89,Percentages,3426986,121657,29.3,1208011,2,80,1,1,e
90,Percentages,3426986,134352,39.2,1208011,3,38,1,1,b
91,Percentages,3426986,134365,39.5,1208011,4,96,1,1,b
92,Percentages,3426986,245500,29.4,1208011,5,96,1,1,a
93,Percentages,3426986,246077,29.3,1208011,6,22,1,1,d
94,Percentages,3426986,246121,39.5,1208011,7,44,1,1,c
102,Percentages,3001603,94137,19.1,1208002,1,27,1,1,b
103,Percentages,3001603,111561,9.1,1208002,2,59,0,0,x
104,Percentages,3001603,121655,19.3,1208002,3,33,1,1,d
105,Percentages,3001603,151553,19.3,1208002,4,102,1,1,d
106,Percentages,3001603,246161,19.1,1208002,5,65,1,1,c
107,Percentages,3001603,249304,9.3,1208002,6,93,1,1,a
108,Percentages,3001603,250746,9.2,1208002,7,36,0,0,x
154,Percentages,3001603,111562,9.1,1208001,1,29,1,1,a
155,Percentages,3001603,127220,19.3,1208001,2,45,1,1,e
157,Percentages,3001603,150939,19.2,1208001,4,69,1,1,c
158,Percentages,3001603,159216,19.0,1208001,5,17,1,1,b
159,Percentages,3001603,159224,19.1,1208001,6,48,1,1,a
160,Percentages,3001603,171291,9.3,1208001,7,82,1,1,d
162,Percentages,2851552,115883,19.1,1207995,1,63,1,1,c
163,Percentages,2851552,159220,19.1,1207995,2,25,1,1,b
164,Percentages,2851552,243596,9.2,1207995,3,51,1,1,b
165,Percentages,2851552,246076,19.3,1207995,4,46,1,1,b
166,Percentages,2851552,246707,9.1,1207995,5,44,1,1,d
167,Percentages,2851552,248140,9.4,1207995,6,54,1,1,b
168,Percentages,2851552,249303,9.3,1207995,7,142,1,1,c
176,Percentages,3426986,94133,49.3,1208006,1,147,1,1,d
177,Percentages,3426986,111563,29.5,1208006,2,65,1,1,c
178,Percentages,3426986,115882,29.1,1208006,3,24,1,1,b
179,Percentages,3426986,153969,1.0,1208006,4,195,1,1,a
180,Percentages,3426986,245570,29.4,1208006,5,42,1,1,b
181,Percentages,3426986,246073,39.5,1208006,6,58,1,1,b
182,Percentages,3426986,246079,29.3,1208006,7,205,1,1,b
251,Percentages,2703899,94124,19.2,1207993,1,106,1,1,a
252,Percentages,2703899,94130,19.1,1207993,2,33,1,1,a
253,Percentages,2703899,121663,9.1,1207993,3,40,1,1,c
254,Percentages,2703899,127316,19.3,1207993,4,56,1,1,b
255,Percentages,2703899,134368,19.2,1207993,5,138,1,1,d
256,Percentages,2703899,159217,19.0,1207993,6,65,1,1,a
281,Percentages,2900427,111562,9.1,1208001,1,30,1,1,a
282,Percentages,2900427,127220,19.3,1208001,2,47,1,1,e
283,Percentages,2900427,134355,9.2,1208001,3,12,1,1,a
284,Percentages,2900427,150939,19.2,1208001,4,24,1,1,c
