,MODULE_NAME,user_id,question_id,LOD,a.ae_qset_id,seq_no,time_taken,attempted,correct,MARK_OPT
0,Percentages,2942830,94127,19.1,1208003,1,96,1,1,b
1,Percentages,2942830,111587,19.0,1208003,2,77,1,1,d
2,Percentages,2942830,134375,19.2,1208003,3,77,1,1,c
3,Percentages,2942830,153983,19.4,1208003,4,162,1,0,c
4,Percentages,2942830,187875,9.3,1208003,5,29,1,1,b
5,Percentages,2942830,243594,19.1,1208003,6,180,1,0,b
6,Percentages,2942830,245141,9.1,1208003,7,47,1,1,d
67,Percentages,3290492,115881,19.1,1207994,1,170,1,1,a
68,Percentages,3290492,127327,1.0,1207994,2,92,1,1,b
69,Percentages,3290492,150218,9.1,1207994,3,40,1,1,d
70,Percentages,3290492,224757,9.1,1207994,4,120,1,1,d
71,Percentages,3290492,245146,19.2,1207994,5,165,1,0,a
72,Percentages,3290492,246122,19.2,1207994,6,25,1,1,b
73,Percentages,3290492,246210,9.1,1207994,7,141,1,1,c
74,Percentages,2953199,150197,19.1,1207990,1,261,1,1,c
75,Percentages,2953199,150220,9.1,1207990,2,215,1,1,c
76,Percentages,2953199,150917,9.1,1207990,3,105,1,1,b
77,Percentages,2953199,159215,19.1,1207990,4,171,1,1,d
78,Percentages,2953199,187876,19.1,1207990,5,79,1,1,a
79,Percentages,2953199,246114,19.3,1207990,6,139,1,1,c
80,Percentages,2953199,263000,19.3,1207990,7,230,1,0,a
82,Percentages,3260534,121659,9.4,1208004,2,40,1,1,e
83,Percentages,3260534,159223,19.1,1208004,3,130,1,1,a
84,Percentages,3260534,245561,9.2,1208004,4,79,1,1,d
85,Percentages,3260534,246123,19.3,1208004,5,462,1,1,d
86,Percentages,3260534,246124,19.1,1208004,6,50,1,1,b
87,Percentages,3260534,246718,9.2,1208004,7,70,1,1,a
116,Percentages,3439593,134351,9.1,1207992,2,79,1,1,a
117,Percentages,3439593,150196,19.1,1207992,3,125,1,1,a
118,Percentages,3439593,151536,19.1,1207992,4,93,1,1,c
119,Percentages,3439593,171290,19.4,1207992,5,274,1,1,b
120,Percentages,3439593,246127,19.3,1207992,6,188,1,1,b
121,Percentages,3439593,246162,9.2,1207992,7,159,1,1,d
122,Percentages,3439593,88305,19.3,1207992,1,263,1,1,c
123,Percentages,2910960,115883,19.1,1207995,1,55,1,1,c
124,Percentages,2910960,159220,19.1,1207995,2,19,1,0,c
125,Percentages,2910960,243596,9.2,1207995,3,43,1,1,b
126,Percentages,2910960,246076,19.3,1207995,4,38,1,1,b
127,Percentages,2910960,246707,9.1,1207995,5,29,1,1,d
128,Percentages,2910960,248140,9.4,1207995,6,122,1,0,a
129,Percentages,2910960,249303,9.3,1207995,7,185,1,1,c
130,Percentages,3260534,94124,19.2,1207993,1,105,1,1,a
131,Percentages,3260534,94130,19.1,1207993,2,61,1,1,a
132,Percentages,3260534,121663,9.1,1207993,3,65,1,1,c
133,Percentages,3260534,127316,19.3,1207993,4,63,1,1,b
134,Percentages,3260534,134368,19.2,1207993,5,115,1,1,d
135,Percentages,3260534,159217,19.0,1207993,6,55,1,1,a
136,Percentages,3260534,246082,9.1,1207993,7,57,1,1,c
151,Percentages,3439593,134362,19.1,1207997,1,159,1,0,d
152,Percentages,3439593,159214,19.1,1207997,2,103,1,1,a
153,Percentages,3439593,177826,9.3,1207997,3,91,1,1,c
197,Percentages,3439593,245584,19.3,1207997,4,92,1,1,d
198,Percentages,3439593,246080,19.3,1207997,5,42,1,1,a
199,Percentages,3439593,246196,19.1,1207997,6,236,1,1,b
200,Percentages,3439593,250004,9.3,1207997,7,21,1,0,c
201,Percentages,2685823,88304,1.0,1208011,1,152,1,0,a
202,Percentages,2685823,121657,29.3,1208011,2,168,1,1,e
203,Percentages,2685823,134352,39.2,1208011,3,130,1,1,b
204,Percentages,2685823,134365,39.5,1208011,4,138,1,1,b
205,Percentages,2685823,245500,29.4,1208011,5,23,1,0,b
206,Percentages,2685823,246077,29.3,1208011,6,41,1,1,d
