,MODULE_NAME,user_id,question_id,LOD,a.ae_qset_id,seq_no,time_taken,attempted,correct,MARK_OPT
0,Percentages,2942830,94127,19.1,1208003,1,96,Y,Y,b
1,Percentages,2942830,111587,19.0,1208003,2,77,Y,Y,d
2,Percentages,2942830,134375,19.2,1208003,3,77,Y,Y,c
3,Percentages,2942830,153983,19.4,1208003,4,162,Y,N,c
4,Percentages,2942830,187875,9.3,1208003,5,29,Y,Y,b
5,Percentages,2942830,243594,19.1,1208003,6,180,Y,N,b
6,Percentages,2942830,245141,9.1,1208003,7,47,Y,Y,d
7,Percentages,3410077,94126,29.2,1208010,1,2,Y,Y,c
8,Percentages,3410077,127305,49.5,1208010,2,12,Y,N,x
9,Percentages,3410077,127349,49.5,1208010,3,55,Y,Y,e
10,Percentages,3410077,134367,29.4,1208010,4,3,Y,Y,a
11,Percentages,2544656,134362,19.1,1207997,1,65,Y,Y,c
12,Percentages,2544656,159214,19.1,1207997,2,97,Y,Y,a
13,Percentages,2544656,177826,9.3,1207997,3,132,Y,Y,c
14,Percentages,2544656,245584,19.3,1207997,4,96,Y,N,a
15,Percentages,2544656,246080,19.3,1207997,5,46,Y,Y,a
16,Percentages,2544656,246196,19.1,1207997,6,44,Y,Y,b
17,Percentages,2544656,250004,9.3,1207997,7,90,Y,Y,d
18,Percentages,3266794,94131,19.2,1208000,1,104,Y,Y,c
19,Percentages,3266794,102067,9.3,1208000,2,111,Y,Y,c
20,Percentages,3266794,121656,9.2,1208000,3,56,Y,Y,c
21,Percentages,3266794,121661,19.3,1208000,4,111,Y,Y,e
22,Percentages,3266794,127363,9.3,1208000,5,77,Y,N,a
23,Percentages,3266794,134358,9.4,1208000,6,40,Y,Y,d
24,Percentages,3266794,150938,19.1,1208000,7,18,Y,Y,c
25,Percentages,2703899,88305,19.3,1207992,1,65,Y,Y,c
26,Percentages,2703899,134351,9.1,1207992,2,10,Y,Y,a
27,Percentages,2703899,150196,19.1,1207992,3,36,Y,Y,a
28,Percentages,2703899,151536,19.1,1207992,4,34,Y,Y,c
29,Percentages,2703899,171290,19.4,1207992,5,169,Y,Y,b
30,Percentages,2703899,246127,19.3,1207992,6,144,Y,Y,b
31,Percentages,2703899,246162,9.2,1207992,7,22,Y,Y,d
32,Percentages,3289748,115881,19.1,1207994,1,58,Y,Y,a
33,Percentages,3289748,127327,1.0,1207994,2,52,Y,N,x
34,Percentages,3289748,150218,9.1,1207994,3,30,Y,N,a
35,Percentages,3289748,224757,9.1,1207994,4,77,Y,N,x
36,Percentages,3289748,245146,19.2,1207994,5,39,Y,Y,b
37,Percentages,3289748,246122,19.2,1207994,6,44,Y,Y,b
38,Percentages,3289748,246210,9.1,1207994,7,277,Y,N,b
39,Percentages,2438207,94128,29.1,1208009,1,4,Y,Y,d
40,Percentages,2438207,94134,39.4,1208009,2,215,Y,Y,a
41,Percentages,2438207,102083,29.4,1208009,3,184,Y,Y,c
42,Percentages,2438207,134353,29.3,1208009,4,46,Y,Y,b
43,Percentages,2438207,134356,29.5,1208009,5,33,Y,N,c
44,Percentages,2438207,151541,29.4,1208009,6,98,Y,Y,a
45,Percentages,2438207,151547,39.4,1208009,7,137,Y,Y,b
46,Percentages,3062667,134376,9.1,1207999,1,76,Y,Y,a
47,Percentages,3062667,245432,9.2,1207999,2,11,Y,Y,a
48,Percentages,3062667,246075,19.1,1207999,3,12,Y,Y,a
49,Percentages,3062667,246120,19.3,1207999,4,363,Y,Y,c
50,Percentages,3062667,246190,9.3,1207999,5,91,Y,Y,c
51,Percentages,3062667,246213,9.2,1207999,6,134,Y,Y,c
52,Percentages,3062667,253331,19.1,1207999,7,169,Y,Y,d
53,Percentages,2824889,127305,49.5,1208010,2,89,Y,N,e
54,Percentages,2824889,127349,49.5,1208010,3,280,Y,Y,e
55,Percentages,2824889,134367,29.4,1208010,4,172,Y,N,c
56,Percentages,2824889,159218,39.3,1208010,5,60,Y,Y,c
57,Percentages,2824889,159226,29.1,1208010,6,77,Y,Y,d
58,Percentages,2824889,163586,29.4,1208010,7,102,Y,N,e
59,Percentages,2824889,94126,29.2,1208010,1,154,Y,Y,c
60,Percentages,3426986,127236,19.3,1207996,1,78,Y,N,b
61,Percentages,3426986,134363,19.0,1207996,2,38,Y,Y,a
62,Percentages,3426986,153964,19.1,1207996,3,43,Y,Y,c
63,Percentages,3426986,159219,19.2,1207996,4,40,Y,Y,c
64,Percentages,3426986,224752,9.1,1207996,5,29,Y,Y,d
65,Percentages,3426986,227532,19.3,1207996,6,40,Y,Y,c
66,Percentages,3426986,246189,19.1,1207996,7,20,Y,Y,d
67,Percentages,3290492,115881,19.1,1207994,1,170,Y,Y,a
68,Percentages,3290492,127327,1.0,1207994,2,92,Y,Y,b
69,Percentages,3290492,150218,9.1,1207994,3,40,Y,Y,d
70,Percentages,3290492,224757,9.1,1207994,4,120,Y,Y,d
71,Percentages,3290492,245146,19.2,1207994,5,165,Y,N,a
72,Percentages,3290492,246122,19.2,1207994,6,25,Y,Y,b
73,Percentages,3290492,246210,9.1,1207994,7,141,Y,Y,c
74,Percentages,2953199,150197,19.1,1207990,1,261,Y,Y,c
75,Percentages,2953199,150220,9.1,1207990,2,215,Y,Y,c
76,Percentages,2953199,150917,9.1,1207990,3,105,Y,Y,b
77,Percentages,2953199,159215,19.1,1207990,4,171,Y,Y,d
78,Percentages,2953199,187876,19.1,1207990,5,79,Y,Y,a
79,Percentages,2953199,246114,19.3,1207990,6,139,Y,Y,c
80,Percentages,2953199,263000,19.3,1207990,7,230,Y,N,a
81,Percentages,3260534,94129,19.1,1208004,1,8,Y,Y,c
82,Percentages,3260534,121659,9.4,1208004,2,40,Y,Y,e
83,Percentages,3260534,159223,19.1,1208004,3,130,Y,Y,a
84,Percentages,3260534,245561,9.2,1208004,4,79,Y,Y,d
85,Percentages,3260534,246123,19.3,1208004,5,462,Y,Y,d
86,Percentages,3260534,246124,19.1,1208004,6,50,Y,Y,b
87,Percentages,3260534,246718,9.2,1208004,7,70,Y,Y,a
88,Percentages,3426986,88304,1.0,1208011,1,75,Y,Y,d
89,Percentages,3426986,121657,29.3,1208011,2,80,Y,Y,e
90,Percentages,3426986,134352,39.2,1208011,3,38,Y,Y,b
91,Percentages,3426986,134365,39.5,1208011,4,96,Y,Y,b
92,Percentages,3426986,245500,29.4,1208011,5,96,Y,Y,a
93,Percentages,3426986,246077,29.3,1208011,6,22,Y,Y,d
94,Percentages,3426986,246121,39.5,1208011,7,44,Y,Y,c
95,Percentages,1701930,111588,19.1,1207998,1,27,Y,Y,d
96,Percentages,1701930,126251,9.3,1207998,2,108,Y,Y,a
97,Percentages,1701930,134372,9.2,1207998,3,209,Y,Y,b
98,Percentages,1701930,244718,9.1,1207998,4,61,Y,Y,b
99,Percentages,1701930,246069,19.1,1207998,5,110,Y,Y,c
100,Percentages,1701930,246778,9.3,1207998,6,131,Y,N,c
101,Percentages,1701930,248317,9.2,1207998,7,25,Y,Y,d
102,Percentages,3001603,94137,19.1,1208002,1,27,Y,Y,b
103,Percentages,3001603,111561,9.1,1208002,2,59,Y,N,x
104,Percentages,3001603,121655,19.3,1208002,3,33,Y,Y,d
105,Percentages,3001603,151553,19.3,1208002,4,102,Y,Y,d
106,Percentages,3001603,246161,19.1,1208002,5,65,Y,Y,c
107,Percentages,3001603,249304,9.3,1208002,6,93,Y,Y,a
108,Percentages,3001603,250746,9.2,1208002,7,36,Y,N,x
