user_id,section_id,avg_perc,top3_avg_perc,best_perc,nprocs
0,2745911,1,62.11,79.69,81.93,14
1,2745911,2,69.35,94.54,97.22,14
2,2745911,3,71.11,82.3,86.48,14
3,2893074,0,22.82,42.69,45.19,13
4,2893074,1,18.94,57.51,96.45,13
5,2893074,2,43.49,90.26,97.23,13
6,2893074,3,36.09,83.68,91.11,13
7,2532997,0,21.12,28.06,34.25,5
8,2532997,1,25.04,36.35,46.93,5
9,2532997,2,33.15,42.87,58.39,5
10,2532997,3,24.96,30.21,32.68,5
11,2793635,0,84.69,88.81,93.22,4
12,2793635,1,92.06,95.93,98.3,4
13,2793635,2,58.79,65.28,68.29,4
14,2793635,3,79.46,84.26,87.2,4
15,2760092,0,19.21,28.76,38.41,5
16,2760092,1,19.54,24.82,30.86,5
17,2760092,2,41.04,61.15,82.68,5
18,2760092,3,21.22,27.05,39.96,5
19,2551072,0,90.7,96.99,99.77,6
20,2551072,1,88.52,98.02,99.83,6
21,2551072,2,84.48,90.74,96.93,6
22,2551072,3,86.18,94.54,99.82,6
23,2891107,0,84.5,97.02,99.36,11
24,2891107,1,84.98,98.63,99.58,11
25,2891107,2,80.47,98.72,99.69,11
26,2891107,3,73.19,84.13,86.61,11
27,2771897,0,30.37,35.85,41.86,4
28,2771897,1,24.59,26.51,29.98,4
29,2771897,2,44.27,57.72,96.06,4
30,2771897,3,37.44,48.83,60.74,4
31,2699906,0,39.15,59.67,71.74,18
32,2699906,1,50.09,68.99,77.03,18
33,2699906,2,42.82,78.93,86.42,18
34,2699906,3,37.6,57.28,66.75,18
35,2733441,0,82.76,82.76,87.06,2
36,2733441,1,63.43,63.43,78.82,2
37,2733441,2,60.5,60.5,72.09,2
38,2733441,3,92.68,92.68,92.77,2
39,2878412,0,26.59,26.59,31.35,3
40,2878412,1,36.97,36.97,53.29,3
41,2878412,2,33.28,33.28,40.22,3
42,2878412,3,27.75,27.75,33.83,3
43,2631304,0,22.96,31.76,35.34,11
44,2631304,1,38.19,67.46,72.55,11
45,2631304,2,33.06,47.25,50.75,11
46,2631304,3,20.68,25.29,26.33,11
47,2309488,0,56.35,74.36,82.73,17
48,2309488,1,62.8,87.27,92.3,17
49,2309488,2,46.42,73.43,85.69,17
50,2309488,3,58.58,79.02,79.56,17
51,2702738,0,29.64,38.56,52.09,6
52,2702738,1,26.94,39.01,66.96,6
